match_id,season,date_time,home_team,away_team,stadium,home_team_score,away_team_score,penalty_shoot_out,attendance
64,2021-2022,2021-09-29,Manchester United,Villarreal CF,Old Trafford,2,1,0,73130
65,2021-2022,2021-10-20,Manchester United,Atalanta,Old Trafford,3,2,0,72279
66,2021-2022,2021-10-20,BSC Young Boys,Villarreal CF,Stadion Wankdorf,1,4,0,27398
67,2021-2022,2021-11-02,Atalanta,Manchester United,Gewiss Stadium,2,2,0,14443
68,2021-2022,2021-11-02,Villarreal CF,BSC Young Boys,Estadio de la Cerámica,2,0,0,14890
69,2021-2022,2021-11-23,Villarreal CF,Manchester United,Estadio de la Cerámica,0,2,0,20875
70,2021-2022,2021-11-23,BSC Young Boys,Atalanta,Stadion Wankdorf,3,3,0,31120
71,2021-2022,2021-12-08,Manchester United,BSC Young Boys,Old Trafford,1,1,0,73156
72,2021-2022,2021-12-09,Atalanta,Villarreal CF,Gewiss Stadium,2,3,0,11690
73,2021-2022,2021-09-14,Sevilla FC,RB Salzburg,Ramón Sánchez Pizjuán,1,1,0,18373
74,2021-2022,2021-09-14,Lille OSC,VfL Wolfsburg,Stade Pierre Mauroy,0,0,0,34314
75,2021-2022,2021-09-29,RB Salzburg,Lille OSC,Red Bull Arena,2,1,0,24207
76,2021-2022,2021-09-29,VfL Wolfsburg,Sevilla FC,Volkswagen Arena,1,1,0,11733
77,2021-2022,2021-10-20,RB Salzburg,VfL Wolfsburg,Red Bull Arena,3,1,0,27500
78,2021-2022,2021-10-20,Lille OSC,Sevilla FC,Stade Pierre Mauroy,0,0,0,34362
79,2021-2022,2021-11-02,VfL Wolfsburg,RB Salzburg,Volkswagen Arena,2,1,0,16112
80,2021-2022,2021-11-02,Sevilla FC,Lille OSC,Ramón Sánchez Pizjuán,1,2,0,29369
81,2021-2022,2021-11-23,Lille OSC,RB Salzburg,Stade Pierre Mauroy,1,0,0,33573
82,2021-2022,2021-11-23,Sevilla FC,VfL Wolfsburg,Ramón Sánchez Pizjuán,2,0,0,28663
83,2021-2022,2021-12-08,RB Salzburg,Sevilla FC,Red Bull Arena,1,0,0,0
84,2021-2022,2021-12-08,VfL Wolfsburg,Lille OSC,Volkswagen Arena,1,3,0,6544
85,2021-2022,2021-09-14,Chelsea FC,Zenit St. Petersburg,Stamford Bridge,1,0,0,39252
86,2021-2022,2021-09-14,Malmö FF,Juventus,Nya Malmö Stadion,0,3,0,5832
87,2021-2022,2021-09-29,Zenit St. Petersburg,Malmö FF,Gazprom Arena,4,0,0,15339
88,2021-2022,2021-09-29,Juventus,Chelsea FC,Allianz Stadium,1,0,0,19934
89,2021-2022,2021-10-20,Zenit St. Petersburg,Juventus,Gazprom Arena,0,1,0,18717
90,2021-2022,2021-10-20,Chelsea FC,Malmö FF,Stamford Bridge,4,0,0,39095
91,2021-2022,2021-11-02,Malmö FF,Chelsea FC,Nya Malmö Stadion,0,1,0,19551
92,2021-2022,2021-11-02,Juventus,Zenit St. Petersburg,Allianz Stadium,4,2,0,20053
93,2021-2022,2021-11-23,Chelsea FC,Juventus,Stamford Bridge,4,0,0,39513
94,2021-2022,2021-11-23,Malmö FF,Zenit St. Petersburg,Nya Malmö Stadion,1,1,0,19551
95,2021-2022,2021-12-08,Zenit St. Petersburg,Chelsea FC,Gazprom Arena,3,3,0,29349
96,2021-2022,2021-12-08,Juventus,Malmö FF,Allianz Stadium,1,0,0,17501
97,2021-2022,2022-02-15,Sporting CP,Manchester City,Estádio José Alvalade,0,5,0,48129
98,2021-2022,2022-02-15,Paris Saint-Germain,Real Madrid,Parc des Princes,1,0,0,47443
99,2021-2022,2022-02-16,RB Salzburg,Bayern München,Red Bull Arena,1,1,0,29520
100,2021-2022,2022-02-16,Inter,Liverpool FC,Giuseppe Meazza,0,2,0,37918
